영역,번호,구분,요청,왜 필요한가 → DB 의 자리,받는 형태,답하는 조직,요청 묶음,회신 담당,회신 예정일,상태,회신 내용·비고
A. 기존 부품 시험 데이터 관리 체계,A1,필수,"시험 대상 식별 체계 — 부품 코드, 제품/모델 코드, 로트·시료 번호 규칙",구성체·시료의 record_name 규칙. 기존 이름과 같아야 대조가 된다,규칙 문서 또는 실제 예 20건,신뢰성 그룹,1차 — 킥오프 직후 (1주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A2,필수,"부품의 층 구조 정보가 어디에 있는가 — PLM/BOM, 도면, 사양서, 없음",구성체(Stack)·층(StackLayer)을 손으로 넣을지 받아올지,시스템 이름 + 화면 캡처 1장,신뢰성 그룹,1차 — 킥오프 직후 (1주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A3,필수,변경점(층 변경·업체 변경·공정 변경) 기록 방식 — 4M 변경 관리 등,변형체(StackDiff) — 「무엇이 다른가」 를 어디서 읽나,변경 기록 예 5건,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A4,필수,"부품 시험 종류 전체 목록 — 온습도·DMA·피로 포함, 각 시험이 따르는 규격(사내/외부)","시험 종류 등록, 확장(extensions/) 우선순위",목록 엑셀 (시험명·규격·장비·연간 건수),신뢰성 그룹,1차 — 킥오프 직후 (1주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A5,필수,시험별 조건 항목과 단위 — 온도·습도·하중·사이클·시간·속도…,"시험 종류의 조건 칸(ADR 0006), 시나리오 세그먼트의 채널 이름",시험별 조건표 (양식 그대로),신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A6,필수,"시나리오(프로파일)를 지금 어떻게 표현하는가 — 표, 문장, 장비 프로그램 파일",시나리오 jsonb 의 세그먼트 종류(ramp/hold/cycle/load)가 실제를 덮는지,온습도·피로 각 1건의 실제 프로파일,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A7,필수,장비 목록과 장비별 출력 파일,형식 프로파일(ADR 0005) — 파일이 있어야 읽기를 만든다,장비별 원본 파일 5개씩,신뢰성 그룹,1차 — 킥오프 직후 (1주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A8,권장,지그 식별 방식 — 이름·번호·도면,"기준정보 fixture, 시험법의 지그 참조",지그 목록,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A9,필수,"측정·기록 항목 — 곡선 채널, 스칼라, 육안 관찰, 사진, 사이클별 중간 점검","시험법의 measurements, 처리 결과 스칼라 이름",기록지·성적서 양식,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
A. 기존 부품 시험 데이터 관리 체계,A10,필수,"판정 체계 — 합부 기준이 어디에 정의되어 있나(규격 조항·사양서), 판정 결과와 근거를 어떻게 적나, 재시험 규칙","시험법의 acceptance 규칙, TestRun.judgement",판정 기준 예 3건 + 판정 기록 예,신뢰성 그룹,2차 — 1단계 중 (2~3주),,,요청 전,
