주차,기간,액션아이템,세부 내용,산출물(화면·모듈),릴리스 범위,상태
1주차,2026-08-14 ~ 08-20,플랫폼 골격과 계정·부서 체계,"FastAPI+React 골격, 윈도우 배포 경로, 로그인·셀프 가입·관리자 승인, 부서(조직도 계층) CRUD 와 멤버·역할, 의존성 레지스트리·계정 삭제 승계, 작업 큐·워커, 알림 3분할, 공지·VOC, 접근 로그·백업·복구","로그인·가입, 관리 › 계정·부서 정보, 알림, 공지·VOC, 서버",Phase 0~1 (v0.1.x),완료
1주차,2026-08-14 ~ 08-20,재료·시료·시편·시험 데이터 체계,"재료 → 시료 → 시편 → 시험 4층 모델, CRUD 화면, 시험 목록·곡선 뷰어, 일괄 등록(이질적 배치), 시험 등록에서 시료·시편을 함께 만들기, 시편 규격을 시험 조건에서 시편으로 분리","카탈로그 › 재료·시편·시험, 재료 상세, 일괄 등록",Phase 2 (v0.1.x~v0.3.0),완료
1주차,2026-08-14 ~ 08-20,장비 파일 읽기 파이프라인 (형식 프로파일),"장비 원본 업로드 → 파싱 → Parquet 정규화, 장비마다 코딩하지 않는 형식 프로파일(ADR 0005), 파일 지문으로 시험 종류 추정, 시험 종류·채널·조건을 배포 없이 정의, 단위 별칭 흡수, 장비 값과 우리 값 대조","데이터 체계 › 시험 정의·장비 파일 정의·단위",ADR 0005·0006 (v0.1.x),완료
1주차,2026-08-14 ~ 08-20,시험 데이터 → CAE 물성 처리 엔진 (1차),"matcore/processing — 변위·하중에서 응력·변형률·탄성계수·강도까지, 처리 레시피·미리보기·불변 결과·채택, 배치 적용(부분 실패 건별), 재료 물성 통계(여러 시편 산포), 피팅과 솔버 카드 첫 판","시험 상세 › 처리 패널, 레시피 목록, 재료 상세 › 통계·CAE 카드",Phase 3~4 (v0.1.x~v0.4.0),완료
1주차,2026-08-14 ~ 08-20,기준정보(어휘) 체계 착수,"제조사·거래처·판매유형·시편규격·장비를 어휘로, 어휘 관리 화면, 제조사 섞임 경고","기준정보, 관리 › 기준정보 편집",v0.6.0~v0.7.0,완료
1주차,2026-08-14 ~ 08-20,개발·배포 인프라와 검증 체계 (전 기간 지속),"GitHub Actions CI(윈도우), 버전 올리면 자동 태그·릴리스, 윈도우 배포 스크립트(UTF-8 BOM·Invoke-Native), 개발 DB 와 시험 DB 분리(워커 4개), 아키텍처 테스트(matcore 는 DB·HTTP 무의존, 모듈 경계, 프론트 짝 모듈, 표 톤, 내부 링크), vitest·Playwright e2e, 사보타주 등급, OpenAPI → 프론트 타입 자동 생성, 접근 로그·백업·복구·health","CI 워크플로, scripts/, tests/architecture, 관리 › 서버·저장소",Phase 0~1 이후 계속 (v1.205 CI 4분·v1.226 health),완료
2주차,2026-08-21 ~ 08-27,기준정보 체계 완성,"분류 계층(Family→Category→Grade), 별칭·병합·후보 탐지, 값 일괄 추가, 적용 제품·부위 축, 어긋남 점검을 워커가 돌림, 기준정보 값을 아무 값에나 합치기, 사업부 축","기준정보 축 목록, 점검",v0.8.0~v1.7.0·v1.64·v1.90,완료
2주차,2026-08-21 ~ 08-27,점탄성 파이프라인 (DMA → 마스터커브 → Prony → 카드),"DMA 파일 읽기, 기준 온도 선택 마스터커브, Prony 급수 적합, 점탄성 솔버 카드, 근거를 보는 점탄성 화면, DMA 처리 단계","시험 상세 › 점탄성 탭, 카드 › 점탄성 블록",v1.11.0~v1.16.0·v1.38,완료
2주차,2026-08-21 ~ 08-27,처리 화면 고도화와 시편 규격 객체,"처리 순서를 계산이 선언, 변수 목록 사이드바, 순서도, 시편 규격이 치수를 갖는 객체·비율 조건·표준 규격 가져오기, 장비 파일 항목을 규격 기호로 연결, 치수를 시험으로 내림, 처리가 시험 조건을 받아 씀","처리 패널, 기준정보 › 시편 규격, 시험 상세",v1.18.0~v1.40.0·v1.119,완료
2주차,2026-08-21 ~ 08-27,물성 카드 = 블록 모음 + 확장 폴더 (물성 플러그인),"카드를 블록의 모음으로 재설계, 확장 폴더(extensions/)로 물성이 붙는 구조(Ghosh 경화식이 첫 확장), 고무 초탄성, 유동곡선 외삽·두 식 혼합, 계산 출처 기록, 스칼라 분포 적합, 네킹 후보 이어 붙이기, 카드에 쓸 시험 고르기·대표 곡선","카드 화면, backend/extensions/, 확장 계약 문서",v1.43.0~v1.55.0·v1.83·v1.93,완료
2주차,2026-08-21 ~ 08-27,CAE 덱 내보내기와 선언 물성,"LS-DYNA·OpenRadioss(/HEAT/MAT) 덱 렌더러, 덱 단위계 선택(SI / mm·N·tonne), 화면 단위를 CAE 단위계로, 시험이 주지 않는 물성을 선언(온도 표·경도 척도)해 덱까지, 밀시트는 시료에","카드 › 내보내기, 재료 상세 › 선언 물성",v1.71.0~v1.79.0·v1.88·v1.110,완료
2주차,2026-08-21 ~ 08-27,일괄 등록·편집과 옛 DB 이관,"재료·시료·시편을 표로 받기(붙여 넣기), 여러 시험 한꺼번에 등록·고치기, 옛 JSON·인장 파일을 프로파일로 읽기, 이관이 파일에서 재료·시료 속성을 읽음, 감사 로그(무엇이 바뀌었고 누가 승인), 예시 곡선 열 벌(합성)","일괄 등록, 관리 › 변경 이력, 이관 스크립트",v1.49.0·v1.85.0~v1.120.0,완료
2주차,2026-08-21 ~ 08-27,개발 규율과 설계 기록 (전 기간 지속),"AGENTS.md 한 벌 규칙·CODEOWNERS(경로 소유: extensions 는 물성 개발자), ADR 30건(응답 규약·인증·배포·재료 계층·형식 프로파일·카드 블록·확장 폴더·묶음·커넥터·워크벤치·온톨로지·계산식…), 개발계획·운영 핸드북·서버 이전·확장 계약 문서, 물성 개발자용 확장 README","AGENTS.md, docs/adr, docs/확장-계약.md, backend/extensions/README.md",ADR 0001~0030,완료
3주차,2026-08-28 ~ 09-03,외부 커넥터 연결 — 장비에서 파이프라인으로,"장비 커넥터 등록·하트비트, 장비가 보낸 파일을 수집함에 받고 사람이 시편을 붙임, 규칙 편집기(resolve·reference), 자동 등록 여부를 커넥터가 선택(기본 승인 대기), 겹친 곡선을 읽자마자 받기, 수집 체계 되살리기, 시편 못 정한 파일 알림","데이터 체계 › 장비 커넥터·수집함, 알림",v1.143.0~v1.147.0·v1.164·v1.166,완료
3주차,2026-08-28 ~ 09-03,여러 시험 묶기 (grouping) → 카드,"여러 시험을 묶는 자리(묶음 플러그인), 묶음이 카드까지, 변형률 스윕에서 E, 정답을 아는 예제를 저장소에, 부동소수 마지막 자리 검증 강화","시험 목록 › 묶음, 카드",v1.133.0~v1.137.0·v1.163,완료
3주차,2026-08-28 ~ 09-03,운영 안정화 — 휴지통·정렬·동시성·이관,"휴지통(지운 것 되살리기), 열 머리 거르기·정렬(계정별 기억), 시편 가로지르기 검색·일괄 수정, 동시 생성 500 방지, 개발·운영 포트 분리, 운영서버 이관 복구, 물성 핸드북(초안→검토 승인)","휴지통, 목록 열 머리, 가이드",v1.116.0~v1.142.0·v1.145,완료
3주차,2026-08-28 ~ 09-03,홈 현황과 물성 분석,"홈에 사업부별 현황·연간 그래프(recharts), 전체 탭·내 정보, 물성 분석(규격 대비·추이·산포 다섯 물음 한 화면), 선언 물성 채우기, 점 수·R² 가드","홈, 카탈로그 › 물성 분석",v1.150.0~v1.160.0·v1.169,완료
3주차,2026-08-28 ~ 09-03,워크벤치와 바구니,"워크벤치(오늘 들어온 것 처리·카드 만들기 등 다섯 시나리오 판정), 목록·재료에서 바구니에 담기, 남은 일을 이름으로·할 자리로 안내, 카드 여러 장 묶음 내보내기, 처리 단계 사이 흐름 보이기","내 활동 › 워크벤치, 담기 패널, 카드 묶음",v1.170.0~v1.191.0,완료
3주차,2026-08-28 ~ 09-03,처리 견고화와 단위 표기 통일,"탄성 구간 자동 탐색·빈 값 거르기, 성긴 곡선은 재료에 적은 값으로, 탄성 구간을 변위로, 못 믿는 구간 참고값, 조용히 틀리던 셋 수정, 참고값이 통계로 새지 않게, 단위 표기 한 목소리, 처리 오류 원인 표시","처리 패널, 통계, 화면 전반",v1.168.0·v1.192.0~v1.197.4,완료
3주차,2026-08-28 ~ 09-03,해석용 물성 정의 — 솔버 덱을 파일로,"솔버 덱(LS-DYNA·OpenRadioss·Abaqus)을 템플릿 파일로 정의(ADR 0023), 스캐너·내보내기 프로파일 편집 화면, 덱 규격 자료·예제, 뽑은 덱 검사","데이터 체계 › 해석용 물성 정의, 카드 › 내보내기",v1.165 무렵 (08-31)·v1.210,완료
